Neighbourhood,Year,Home price,Change in housing pricing,Low income population,Low income population percentage,Total Area,Total Population,Pop  25 - 34 years,Recent Immigrants,TTC Stops,Health Providers,Businesses,Social Housing Units,Rent Bank Applicants,Future_low_income_pop_per,Future_Change_housing_pricing 
Agincourt-North,Six,234855,0.38381178,5900,19.56,7.3,30160,3920,4265,90,17,295,77,2,18.54,0.285052479
Agincourt-South-Malvern-West,Six,245759,0.364584837,4330,20.08,7.9,21565,2850,3060,121,79,1399,170,12,17.76,0.307455678
Alderwood,Six,252745,0.433282296,2685,23.04,5,11655,1370,290,56,12,312,85,4,9.37,0.338412234
Annex,Six,592630,0.45799198,4480,16.30,2.8,27480,6760,1260,86,192,2322,1065,11,19.07,0.37270641
Banbury-Don-Mills,Six,410468,0.475760408,6995,27.50,10,25435,2790,2400,125,65,735,304,21,12.63,0.369329643
Bathurst-Manor,Six,308347,0.453390649,3755,25.13,4.8,14945,1900,2145,60,44,259,385,9,18.01,0.307617716
Bay-Street-Corridor,Six,563035,0.766678067,2015,13.15,1.8,15320,5060,1845,103,179,4194,520,6,30.26,0.576013925
Bayview-Village,Six,401024,0.366453363,3090,20.10,5.2,15370,2545,2020,44,128,433,122,5,16.01,0.379969777
Bayview-Woods-Steeles,Six,379728,0.374357118,2980,22.41,4.1,13295,1170,1695,45,10,95,170,4,19.62,0.281351388
Bedford-Park-Nortown,Six,514824,0.437879143,5160,23.50,5.5,21960,2195,775,76,45,659,236,8,12.10,0.303086103
Beechborough-Greenbrook,Six,248970,0.419271353,1300,19.92,1.8,6530,895,410,26,8,142,440,21,30.75,0.291083263
Bendale,Six,217258,0.369796855,5780,22.69,7.4,25490,3550,2395,103,80,825,508,30,19.73,0.305010633
Birchcliffe-Cliffside,Six,287985,0.440825516,3935,18.17,6,21655,2435,710,96,23,350,868,25,14.28,0.340295502
Black-Creek,Six,178897,0.401399073,4295,19.77,3.4,21715,2985,2765,85,34,343,1432,62,27.93,0.219383221
Blake-Jones,Six,300079,0.423990775,1395,17.97,0.9,11890,1895,355,21,10,139,1052,7,24.22,0.393779638
Briar-Hill-Belgravia,Six,245574,0.375294717,2760,19.44,1.8,14200,2280,1940,31,35,467,328,12,17.13,0.332429329
Bridle-Path-Sunnybrook-York-Mills,Six,758799,0.647353441,1525,18.59,8.8,8210,425,145,73,7,58,0,1,8.09,0.266262871
Broadview-North,Six,318426,0.497995935,2140,18.45,1.7,11590,2025,1300,36,10,128,238,11,23.96,0.320231388
Brookhaven-Amesbury,Six,213308,0.380821989,3355,19.37,3.5,17325,2495,2085,66,42,429,589,42,23.81,0.323330583
Caledonia-Fairbank,Six,262130,0.430856232,1895,18.43,1.5,10280,1585,780,35,1,96,294,9,16.14,0.33565788
Casa-Loma,Six,683240,0.62277837,2145,21.85,1.9,9810,1635,480,45,96,284,113,4,10.30,0.328622446
Centennial-Scarborough,Six,223897,0.413410854,2135,17.15,5.4,12450,1220,425,46,5,125,139,3,6.61,0.291116004
Church-Yonge-Corridor,Six,420264,0.418765909,2635,10.81,1.4,24370,7185,1975,62,78,2492,3702,13,26.39,0.345839758
Clairlea-Birchmount,Six,228647,0.428481285,3880,19.55,7.4,19855,2610,2510,130,13,817,272,13,18.55,0.326389587
Clanton-Park,Six,335547,0.451120731,3115,22.68,4.2,13735,1860,1305,50,41,344,549,5,15.19,0.325799366
Cliffcrest,Six,234310,0.425798364,3175,21.85,7.1,14530,1360,630,67,9,214,497,15,17.03,0.286035594
Corso-Italia-Davenport,Six,253212,0.41585775,2825,19.61,1.9,14415,2320,715,49,56,415,46,7,16.23,0.400060029
Danforth,Six,268875,0.45585727,2010,20.99,1.1,5450,850,465,24,55,413,715,5,14.03,0.364180381
Danforth-Village-East-York,Six,276812,0.461528308,3420,20.73,2.2,16500,2500,815,66,32,156,287,10,13.13,0.378563791
Don-Valley-Village,Six,291089,0.411210604,5360,20.12,4.1,26640,4035,6960,45,50,367,156,12,21.95,0.338913528
Dorset-Park,Six,215655,0.40050265,4820,19.78,6,24365,3715,3660,78,33,922,510,24,20.65,0.276362709
Dovercourt-Wallace-Emerson-Junction,Six,293349,0.443888249,5965,17.17,3.7,34725,6855,2625,107,28,863,1085,15,17.41,0.343611193
Downsview-Roding-CFB,Six,235346,0.414491952,7500,23.43,14.9,32010,4595,2985,167,82,965,530,74,19.53,0.308464983
Dufferin-Grove,Six,308660,0.425859114,1995,16.89,1.4,11805,2625,1055,34,8,350,358,6,18.95,0.38886153
East-End-Danforth,Six,276256,0.463321097,3380,16.82,2.6,20100,2905,1100,68,41,523,859,17,16.48,0.402098054
East-York,Six,276045,0.344901171,1940,21.51,2.3,9025,1185,410,60,3,127,78,4,11.74,0.384296039
Edenbridge-Humber-Valley,Six,422248,0.387148489,3220,22.28,5.5,14450,1570,1400,47,10,162,0,24,14.39,0.365659518
Eglinton-East,Six,234745,0.408095447,4640,20.73,3.2,22385,3035,2670,52,22,313,865,31,26.85,0.265415664
Elms-Old-Rexdale,Six,183299,0.386098109,1900,20.13,2.9,9440,1285,925,29,1,70,571,14,19.79,0.240366832
Englemount-Lawrence,Six,317670,0.419620952,5280,25.01,3.6,21125,2760,1895,78,9,185,1702,6,20.49,0.333991249
Eringate-Centennial-West-Deane,Six,254796,0.437892563,4380,23.63,8.6,18535,1790,785,71,9,244,104,12,10.74,0.29966326
Etobicoke-West-Mall,Six,250753,0.414932936,2210,20.70,1.7,10680,1275,1355,29,13,181,99,6,19.86,0.310161793
Flemingdon-Park,Six,197068,0.408584397,4070,19.12,2.5,21290,3150,4890,51,9,220,717,36,30.45,0.290869142
Forest-Hill-North,Six,437316,0.470557971,2505,20.38,1.6,12295,1760,1610,30,14,154,469,5,14.75,0.330285194
Forest-Hill-South,Six,723864,0.496508181,2320,21.40,2.5,10840,1420,415,35,24,169,233,1,8.83,0.352258159
Glenfield-Jane-Heights,Six,192075,0.402908438,6895,22.32,5.2,30880,3990,3005,89,92,631,1615,27,23.78,0.236131719
Greenwood-Coxwell,Six,260682,0.463897032,2595,17.65,1.7,14700,2455,960,42,23,339,1115,10,18.46,0.423842076
Guildwood,Six,243607,0.438856272,2635,26.28,3.8,10025,865,245,29,6,145,0,5,8.71,0.245280308
Henry-Farm,Six,297983,0.427053302,1860,16.48,2.6,11290,1940,3705,35,76,737,0,13,28.54,0.310081448
High-Park-North,Six,379421,0.444208451,3360,16.02,1.9,20970,4795,2130,40,29,274,742,8,15.97,0.340563648
High-Park-Swansea,Six,361828,0.43221077,4020,20.12,5.3,19980,3255,665,91,90,465,393,4,11.36,0.346587329
Highland-Creek,Six,277894,0.404966784,2045,15.91,5.1,12845,1595,330,63,8,91,3,2,7.79,0.369259502
Hillcrest-Village,Six,312813,0.407989378,4095,22.34,5.3,18330,1835,2345,79,23,421,1028,0,17.02,0.297350174
Humber-Heights,Six,296290,0.438175305,3050,28.96,2.8,10525,1060,840,56,4,81,555,8,17.10,0.288359378
Humber-Summit,Six,218513,0.375991789,3080,24.13,7.9,12770,1775,1795,96,14,1342,124,9,15.21,0.273892171
Humbermede,Six,193248,0.395574557,3175,21.48,4.4,14780,2235,2345,51,18,360,218,20,21.95,0.283376801
Humewood-Cedarvale,Six,384211,0.53715143,2275,16.34,1.9,13915,2810,1080,26,11,137,300,10,14.78,0.366535576
Ionview,Six,190820,0.41762936,2695,20.69,2,13030,1945,2095,25,20,148,332,30,23.95,0.274939734
